Source,Targets,Type,Id,Label,timeset,Weight,edge,text
P1.3,P1.3.6,Directed,446,,,1,,
P1.3,P1.3.7,Directed,447,,,1,,
P1.3,P1.3.8,Directed,448,,,1,,
P1.3,P1.3.11,Directed,449,,,1,,
P1.3,P1.3.12,Directed,450,,,1,,
P1.3,P1.3.13,Directed,451,,,1,,
P1.3,P1.3.16,Directed,452,,,1,,
P1.3,P1.3.14,Directed,453,,,1,,
P1.3,P1.3.17,Directed,454,,,1,,
P1.3,P1.3.18,Directed,455,,,1,,
P1.3,P1.3.19,Directed,456,,,1,,
P1.3,P1.3.20,Directed,457,,,1,,
P1.4,P1.4.3,Directed,460,,,1,,
P1.4,P1.4.2,Directed,461,,,1,,
P1.4,P1.4.1,Directed,462,,,1,,
P1.5,P1.5.1,Directed,473,,,1,,
P1.5,P1.5.2,Directed,474,,,1,,
P1.5,P1.5.3,Directed,475,,,1,,
P1.5,P1.5.4,Directed,476,,,1,,
P1.2.12,P1.2.12.1,Directed,479,,,1,,
P1.2.12,P1.2.12.2,Directed,480,,,1,,
P1.2.12,P1.2.12.3,Directed,481,,,1,,
P1.2.12,P1.2.12.4,Directed,482,,,1,,
P1.2.12,P1.2.12.5,Directed,483,,,1,,
P1.2.12,P1.2.12.6,Directed,484,,,1,,
P1.2.12,P1.2.12.7,Directed,485,,,1,,
P1.2.12,P1.2.12.8,Directed,486,,,1,,
P1.6,P1.6.1,Directed,487,,,1,,
P1.6,P1.6.2,Directed,488,,,1,,
P1.6,P1.6.3,Directed,489,,,1,,
P1.6,P1.6.4,Directed,490,,,1,,
P1.6,P1.6.6,Directed,491,,,1,,
P1.6,P1.6.5,Directed,492,,,1,,
P1.6,P1.6.7,Directed,493,,,1,,
P1.6,P1.6.8,Directed,494,,,1,,
P1.6,P1.6.10,Directed,495,,,1,,
P1.6,P1.6.9,Directed,496,,,1,,
P1.7,P1.7.1,Directed,504,,,1,,
P1.7,P1.7.2,Directed,505,,,1,,
P1.7,P1.7.8,Directed,506,,,1,,
P1.7,P1.7.6,Directed,507,,,1,,
P1.7,P1.7.5,Directed,508,,,1,,
P1.7,P1.7.10,Directed,509,,,1,,
P1.7,P1.7.11,Directed,510,,,1,,
P1.7,P1.7.13,Directed,511,,,1,,
P1.7,P1.7.14,Directed,512,,,1,,
P1.8,P1.8.7,Directed,513,,,1,,
P1.8,P1.8.6,Directed,514,,,1,,
